"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 16 14:03:52 EEST 2022","Tue Aug 16 14:03:52 EEST 2022","0","Surefire suite","Surefire test","tests.EmailFriendPageTest","tests.EmailFriendPageTest","takeScreenshotOnFailure","takeScreenshotOnFailure",""
"passed","Tue Aug 16 14:15:24 EEST 2022","Tue Aug 16 14:15:25 EEST 2022","682","Surefire suite","Surefire test","tests.AddToCompareListTest","tests.AddToCompareListTest","clearCompareListItems","clearCompareListItems",""
"passed","Tue Aug 16 14:14:33 EEST 2022","Tue Aug 16 14:14:37 EEST 2022","4162","Surefire suite","Surefire test","tests.RegisteredUserCheckoutTest","tests.RegisteredUserCheckoutTest","searchForItemAndAddItToCart","searchForItemAndAddItToCart",""
"passed","Tue Aug 16 14:16:03 EEST 2022","Tue Aug 16 14:16:06 EEST 2022","2777","Surefire suite","Surefire test","tests.MyAccountPageTest","tests.MyAccountPageTest","testClickingLogout","testClickingLogout",""
"passed","Tue Aug 16 14:13:40 EEST 2022","Tue Aug 16 14:13:52 EEST 2022","12012","Surefire suite","Surefire test","tests.GuestCheckoutTest","tests.GuestCheckoutTest","guestUserCanCheckout","guestUserCanCheckout",""
"passed","Tue Aug 16 14:16:00 EEST 2022","Tue Aug 16 14:16:01 EEST 2022","1475","Surefire suite","Surefire test","tests.MyAccountPageTest","tests.MyAccountPageTest","testRegistrationPage","testRegistrationPage",""
"broken","Tue Aug 16 14:03:53 EEST 2022","Tue Aug 16 14:03:53 EEST 2022","0","Surefire suite","Surefire test","tests.HoverMenuTest","tests.HoverMenuTest","takeScreenshotOnFailure","takeScreenshotOnFailure",""
"passed","Tue Aug 16 14:15:51 EEST 2022","Tue Aug 16 14:15:54 EEST 2022","3719","Surefire suite","Surefire test","tests.SearchPageTest","tests.SearchPageTest","searchForItemUsingAutoSuggession","searchForItemUsingAutoSuggession",""
"passed","Tue Aug 16 14:14:53 EEST 2022","Tue Aug 16 14:14:54 EEST 2022","1101","Surefire suite","Surefire test","tests.HoverMenuTest","tests.HoverMenuTest","userCanHoverMenu","userCanHoverMenu",""
"broken","Tue Aug 16 14:14:31 EEST 2022","Tue Aug 16 14:14:31 EEST 2022","0","Surefire suite","Surefire test","tests.SeleniumGridRegistrationTest","tests.SeleniumGridRegistrationTest","setUp","setUp",""
"passed","Tue Aug 16 14:15:50 EEST 2022","Tue Aug 16 14:15:51 EEST 2022","693","Surefire suite","Surefire test","tests.AddReviewPageTest","tests.AddReviewPageTest","testClickingLogout","testClickingLogout",""
"passed","Tue Aug 16 14:14:52 EEST 2022","Tue Aug 16 14:14:53 EEST 2022","712","Surefire suite","Surefire test","tests.RegisteredUserCheckoutTest","tests.RegisteredUserCheckoutTest","testClickingLogout","testClickingLogout",""
"passed","Tue Aug 16 14:15:25 EEST 2022","Tue Aug 16 14:15:28 EEST 2022","3720","Surefire suite","Surefire test","tests.AddToCartPageTest","tests.AddToCartPageTest","searchForItemAndAddItToCart","searchForItemAndAddItToCart",""
